"energy","zcr","peak","dominant_frequency","spectral_centroid","spectral_bandwidth","label"
176193600,0.510742,979,1986,998.840942,601.279541,"bell"
287712832,0.668701,968,1986,1082.441895,648.504761,"bell"
325108352,0.590576,1032,1983,1064.226074,605.543213,"bell"
562298496,0.729736,961,1985,1180.163086,670.382446,"bell"
150766800,0.512451,953,931,985.596619,578.206421,"bell"
127510848,0.363281,749,1985,795.566101,625.511536,"bell"
246953312,0.466553,960,1983,902.165588,650.575806,"bell"
279876160,0.549316,1090,1984,932.861694,689.003723,"bell"
303636192,0.486084,1008,1985,891.285156,631.351624,"bell"
186719952,0.407227,848,927,855.769775,628.926025,"bell"
71529432,0.314941,572,441,749.310974,638.998352,"bell"
75168856,0.253662,856,441,712.815369,586.250427,"bell"
92017456,0.262207,658,441,709.672485,617.233154,"bell"
80747264,0.275879,570,442,727.881958,602.69519,"bell"
77377072,0.266113,776,442,723.194336,606.938049,"bell"
194131424,0.253418,866,441,712.803284,578.562805,"bell"
171570784,0.251221,773,441,745.582886,605.47052,"bell"
161761344,0.225586,802,441,669.929871,573.211731,"bell"
170540400,0.22998,810,441,680.241699,579.433899,"bell"
160669920,0.216553,856,441,654.476257,569.907471,"bell"
257164368,0.407715,872,441,850.104004,650.362915,"bell"
339656640,0.503174,918,1978,925.665283,693.413574,"bell"
328374880,0.476807,979,1981,908.622803,629.042786,"bell"
268799584,0.373291,972,441,839.206848,595.947449,"bell"
234553744,0.323242,904,441,780.752014,608.906433,"bell"
12248850,0.445312,857,29,922.300232,596.069885,"clap"
9912776,0.456055,361,295,955.689087,592.452087,"clap"
13218987,0.447266,678,277,931.882812,580.540344,"clap"
21635388,0.341553,1037,258,865.114075,604.051147,"clap"
14098691,0.456543,674,37,914.938599,597.990479,"clap"
17546908,0.448975,1037,43,908.548035,582.555908,"clap"
16275146,0.449707,914,296,1007.00769,598.039856,"clap"
18361948,0.467041,873,1265,970.811523,587.437134,"clap"
24351528,0.438721,989,43,930.715332,597.509949,"clap"
16454846,0.442383,982,65,949.929993,577.565674,"clap"
13769472,0.424561,617,33,904.377136,603.372009,"clap"
32685604,0.39917,975,76,769.516846,630.632446,"clap"
13531007,0.412842,516,59,899.791809,601.974304,"clap"
12900951,0.413818,615,59,927.001343,603.933228,"clap"
12304594,0.416992,846,34,935.974915,620.684875,"clap"
16141386,0.423828,1056,34,916.062683,588.560181,"clap"
16934268,0.440186,762,34,963.040405,580.641479,"clap"
17935568,0.448242,837,34,971.825928,577.749512,"clap"
15597230,0.43335,753,34,957.89801,571.853821,"clap"
15757720,0.443848,973,34,984.43689,606.126099,"clap"
15276283,0.445557,1382,34,933.303284,581.030518,"clap"
16955080,0.447266,902,34,897.597412,584.486572,"clap"
16961868,0.458984,834,34,987.55127,580.682861,"clap"
12729020,0.441406,663,34,912.256836,600.813354,"clap"
14790223,0.453369,696,34,956.579468,600.409058,"clap"
17513300,0.441162,866,34,958.399536,558.243958,"clap"
22517360,0.461426,717,33,952.070801,563.662231,"clap"
25063480,0.474365,694,34,988.403687,572.079224,"clap"
17592080,0.464355,749,34,993.362976,584.48938,"clap"
19723876,0.465088,613,34,994.921509,561.446899,"clap"
19428120,0.436279,937,57,866.50824,595.268372,"clap"
16018615,0.45166,764,46,883.228088,579.387146,"clap"
16621958,0.449951,1516,300,913.80542,577.527771,"clap"
17672880,0.460693,986,57,951.025391,582.024902,"clap"
27157580,0.452881,939,557,914.050171,546.679138,"clap"
12394779,0.440186,866,306,874.769775,582.958618,"clap"
14734917,0.427002,975,62,896.852844,584.111633,"clap"
11276031,0.450928,777,480,900.111938,588.543091,"clap"
19305200,0.447021,935,112,866.716614,586.959473,"clap"
13077403,0.442139,962,33,903.611633,581.350403,"clap"
17742852,0.42627,820,174,982.737732,577.640686,"clap"
35919452,0.398438,1185,167,864.608154,623.575928,"clap"
19918328,0.41748,774,34,953.210144,579.861145,"clap"
19237196,0.409668,833,167,934.813538,571.021179,"clap"
21785128,0.431396,980,115,958.662292,575.886169,"clap"
15026248,0.415527,561,64,948.918335,603.39502,"clap"
