"energy","zcr","peak","dominant_frequency","label"
16732677,0.449219,686,592,"clap"
9740727,0.41333,989,592,"clap"
13152556,0.456055,875,592,"clap"
14506405,0.425293,1060,58,"clap"
13182218,0.437744,805,592,"clap"
10710348,0.455811,651,592,"clap"
14746936,0.414307,924,516,"clap"
23018161,0.427002,746,169,"clap"
24294581,0.443359,839,169,"clap"
23522293,0.408447,683,56,"clap"
30322111,0.412598,855,57,"clap"
15007069,0.419922,860,169,"clap"
14945098,0.415283,610,54,"clap"
15334081,0.423584,513,169,"clap"
18691211,0.436768,850,169,"clap"
14844449,0.437012,894,169,"clap"
53048677,0.205811,1344,63,"clap"
58537065,0.222168,1022,63,"clap"
49667519,0.205811,816,63,"clap"
47783695,0.223145,998,63,"clap"
52515674,0.210449,1022,63,"clap"
46780807,0.194336,952,63,"clap"
33665916,0.273193,910,63,"clap"
13832031,0.473389,937,110,"clap"
10707898,0.460205,961,110,"clap"
13476091,0.453613,797,109,"clap"
65614135,0.378418,1389,117,"snap"
32404227,0.419189,988,39,"snap"
37491904,0.384277,788,146,"snap"
13071537,0.450684,987,46,"snap"
24796444,0.429688,954,736,"snap"
11824534,0.456787,1062,35,"snap"
38561684,0.393555,956,123,"snap"
15836293,0.44873,996,36,"snap"
23649043,0.431885,811,50,"snap"
25496728,0.412598,841,115,"snap"
34938352,0.41333,1037,91,"snap"
27384764,0.383301,983,119,"snap"
18710702,0.407227,961,34,"snap"
48935407,0.412598,1444,778,"snap"
50320823,0.40332,1021,104,"snap"
18687220,0.441895,1023,59,"snap"
22146857,0.430908,903,492,"snap"
16435698,0.45752,971,62,"snap"
30230389,0.433594,899,494,"snap"
15939203,0.446045,961,98,"snap"
17301772,0.330566,1417,13,"snap"
14711833,0.432617,665,924,"snap"
36820510,0.381348,1086,505,"snap"
11500012,0.437012,701,207,"snap"
14551903,0.444824,440,466,"snap"
8849837,0.45874,379,384,"snap"
12309901,0.460449,495,147,"snap"
21757243,0.412598,820,92,"snap"
10280730,0.44873,667,81,"snap"
20797864,0.421387,618,128,"snap"
38018923,0.367188,1521,497,"snap"
12139543,0.398682,566,110,"snap"
30665388,0.404541,745,110,"snap"
10878212,0.452148,529,110,"snap"
49158077,0.38208,972,74,"snap"
12158398,0.437744,663,110,"snap"
12842975,0.412109,944,110,"snap"
17735611,0.400146,970,120,"snap"
21467483,0.391846,698,65,"snap"
30577034,0.353271,890,46,"snap"
18824183,0.356934,960,500,"snap"
12516002,0.400391,555,297,"snap"
21394940,0.406006,1046,110,"snap"
31557853,0.355713,1516,480,"snap"
52604082,0.404053,1050,735,"snap"
15271328,0.429443,652,296,"snap"
19806743,0.418213,907,947,"snap"
11230261,0.399658,769,947,"snap"
14747096,0.418213,832,110,"snap"
44683579,0.375732,943,493,"snap"
39235397,0.407959,1094,725,"snap"
14156465,0.416992,762,110,"snap"
37273555,0.392334,961,24,"snap"
23240716,0.390137,932,27,"snap"
14088278,0.399658,667,110,"snap"
48922663,0.367676,680,41,"snap"
25230801,0.41333,970,27,"snap"
14857000,0.447998,585,110,"snap"
16812610,0.4104,876,116,"snap"
46477349,0.387207,921,2,"snap"
11633070,0.429688,371,79,"snap"
32448028,0.3479,1025,111,"snap"
27937924,0.382812,751,109,"snap"
12242825,0.399414,385,107,"snap"
11222174,0.42627,489,49,"snap"
14255354,0.408691,402,49,"snap"
19133740,0.371826,470,108,"snap"
11026648,0.444092,434,143,"snap"
13909894,0.397461,618,117,"snap"
27798013,0.377197,593,106,"snap"
12903118,0.377441,959,110,"snap"
18348822,0.426758,921,110,"snap"
17139480,0.42627,912,110,"snap"
16173868,0.408447,563,110,"snap"
14339049,0.41626,545,110,"snap"
31907067,0.363281,1387,115,"snap"
46105379,0.379639,975,3,"snap"
48121573,0.380371,1014,743,"snap"
73484950,0.39917,1059,557,"snap"
33679454,0.412109,827,110,"snap"
12444159,0.37793,1167,124,"snap"
21871512,0.42749,1005,169,"snap"
18286283,0.414307,926,125,"snap"
10908259,0.411865,449,125,"snap"
16931982,0.420166,971,122,"snap"
35266943,0.381836,995,786,"snap"
73243419,0.372559,967,741,"snap"
51876248,0.409424,869,743,"snap"
73057648,0.376465,784,132,"snap"
